scope,asset,status,trades,pnl_cents,pnl_per_trade,win_rate,max_drawdown
global,,enabled,34370.0,149406.0,4.346988652894966,0.9725923770730288,-1571.0
asset,BTC,enabled,9428.0,39527.0,4.19251166737378,0.9689223589308443,-632.0
asset,ETH,enabled,10820.0,50617.0,4.678096118299446,0.9751386321626617,-1421.0
asset,SOL,enabled,6371.0,25944.0,4.072202166064982,0.9963898916967509,-1338.0
asset,XRP,enabled,7751.0,33318.0,4.298542123596955,0.9539414269126564,-948.0
